DomainLabel	nMuts	nGenes	pfam	Description
Sema_plexin_C1	1	1	cd11246	The Sema domain, a protein interacting module, of Plexin C1
SerB	1	1	COG0560	Phosphoserine phosphatase [Amino acid transport and metabolism]
Serine_rich_NEDD9	1	1	a protein interaction module	Serine rich Four helix bundle domain of CAS (Crk-Associated Substrate) scaffolding protein, Neural precursor cell Expressed, Developmentally Down-regulated 9
Serpin	1	1	pfam00079	Serpin (serine protease inhibitor)
Sfp	1	1	COG2091	Phosphopantetheinyl transferase [Coenzyme metabolism]
Shisa	1	1	pfam13908	Wnt and FGF inhibitory regulator
Sm_B	1	1	cd01717	Sm protein B
Sm_D1	1	1	cd01724	Sm protein D1
Sm_D2	1	1	cd01720	Sm protein D2
Smac_DIABLO	1	1	pfam09057	Second Mitochondria-derived Activator of Caspases
Smoothelin	1	1	pfam12510	Smoothelin cytoskeleton protein
Snf7	1	1	cl02305	Snf7
Sox_N	1	1	pfam12444	Sox developmental protein N terminal
Sp100	1	1	pfam03172	Sp100 domain
Sp38	1	1	pfam07354	Zona-pellucida-binding protein (Sp38)
SpoU	1	1	COG0566	rRNA methylases [Translation, ribosomal structure and biogenesis]
Spore_permease	1	1	cl15802	Spore germination protein
Sprouty	1	1	pfam05210	Sprouty protein (Spry)
Spt4	1	1	cd07973	Transcription elongation factor Spt4
Spt5_N	1	1	pfam11942	Spt5 transcription elongation factor, acidic N-terminal
Ssu72	1	1	pfam04722	Ssu72-like protein
Stanniocalcin	1	1	pfam03298	Stanniocalcin family
Stathmin	1	1	pfam00836	Stathmin family
Steroid_dh	1	1	pfam02544	3-oxo-5-alpha-steroid 4-dehydrogenase
Stk19	1	1	pfam10494	Serine-threonine protein kinase 19
Sulfate_tra_GLY	1	1	pfam13792	Sulfate transporter N-terminal domain with GLY motif
Sumo	1	1	cd01763	Small ubiquitin-related modifier (SUMO)
Surp	1	1	pfam01805	Surp module
Sushi	1	1	pfam00084	Sushi domain (SCR repeat)
Sushi_2	1	1	pfam09014	Beta-2-glycoprotein-1 fifth domain
Synapsin	1	1	pfam02078	Synapsin, N-terminal domain
Syntaxin-18_N	1	1	pfam10496	SNARE-complex protein Syntaxin-18 N-terminus
TACC	1	1	pfam05010	Transforming acidic coiled-coil-containing protein (TACC)
TAF7	1	1	cd08047	TATA Binding Protein (TBP) Associated Factor 7 (TAF7) is one of several TAFs that bind TBP and is involved in forming Transcription Factor IID (TFIID) complex
TAN	1	1	pfam11640	Telomere-length maintenance and DNA damage repair
TB2_DP1_HVA22	1	1	pfam03134	TB2/DP1, HVA22 family
TBCA	1	1	pfam02970	Tubulin binding cofactor A
TCCD_inducible_PARP_like	1	1	cd01439	Poly(ADP-ribose) polymerases catalyse the covalent attachment of ADP-ribose units from NAD+ to itself and to a limited number of other DNA binding proteins, which decreases their affinity for DNA. Poly(ADP-ribose) polymerase is a regulatory component...
TCRP1	1	1	NA	NA
TCTP	1	1	cl08291	Translationally controlled tumour protein
TEP1_N	1	1	pfam05386	TEP1 N-terminal domain
TFCD_C	1	1	pfam12612	Tubulin folding cofactor D C terminal
TFIIF_beta	1	1	pfam02270	Transcription initiation factor IIF, beta subunit
TFIIFa	1	1	cd00240	Transcription initiation factor IIF, alpha subunit, N-terminal region of RAP74. Subunit of transcription initiation complex involved in initiation, elongation and promoter escape.Tetramer of 2 alpha and 2 beta TFIIF subunits interacts directly with RNA...
TFIIIC_sub6	1	1	pfam10419	TFIIIC subunit
TFR_dimer	1	1	pfam04253	Transferrin receptor-like dimerisation domain
TGF_beta	1	1	cl02510	Transforming growth factor beta like domain
TH1	1	1	pfam04858	TH1 protein
THEG	1	1	NA	NA
THUMP_AdoMetMT	1	1	cd11715	THUMP domain associated with S-adenosylmethionine-dependent methyltransferases
TIGR00043	1	1	NA	metalloprotein, YbeY/Upfam0054 family
TIGR02928	1	1	NA	orc1/cdc6 family replication initiation protein
TILa	1	1	pfam12714	TILa domain
TIM21	1	1	pfam08294	TIM21
TINF2_N	1	1	NA	NA
TIP120	1	1	pfam08623	TATA-binding protein interacting (TIP20)
TIP49	1	1	pfam06068	TIP49 C-terminus
TK	1	1	pfam00265	Thymidine kinase
TLDc	1	1	smart00584	domain in TBC and LysM domain containing proteins
TLF	1	1	also called TLP, TRF, TRP), which are found in most metazoans. TLFs and TBPs have well-conserved core domains	TBP-like factors (TLF
TLV_coat	1	1	NA	NA
TMCO5	1	1	NA	NA
TMEM107	1	1	NA	NA
TMEM138	1	1	NA	NA
TMEM95	1	1	NA	NA
TMPK	1	1	cd01672	Thymidine monophosphate kinase (TMPK), also known as thymidylate kinase, catalyzes the phosphorylation of thymidine monophosphate (TMP) to thymidine diphosphate (TDP) utilizing ATP as its preferred phophoryl donor. TMPK represents the rate-limiting step...
TP53IP5	1	1	NA	NA
TPR_1	1	1	NA	NA
TPR_16	1	1	pfam13432	Tetratricopeptide repeat
TRAPP	1	1	pfam04051	Transport protein particle (TRAPP) component
TRAPPC-Trs85	1	1	pfam12739	ER-Golgi trafficking TRAPP I complex 85 kDa subunit
TRAPPC9-Trs120	1	1	pfam08626	Transport protein Trs120 or TRAPPC9, TRAPP II complex subunit
TRASH	1	1	smart00746	metallochaperone-like domain
TRFH	1	1	TRFH. Telomeres are protein/DNA complexes that make up the physical ends of eukaryotic linear chromosomes and are essential for chromosome stability	Telomeric Repeat binding Factor or TTAGGG Repeat binding Factor, central (dimerization) domain Homology
TRM	1	1	pfam02005	N2,N2-dimethylguanosine tRNA methyltransferase
TRM13	1	1	pfam05206	Methyltransferase TRM13
TRX_NDPK	1	1	most members of this group are fusion proteins which contain one redox active TRX domain containing a CXXC motif and three NDPK domains, and are characterized as intermediate chains (ICs) of...	TRX domain, TRX and NDP-kinase (NDPK) fusion protein family
TRX_family	1	1	composed of two groups: Group I, which includes proteins that exclusively encode a TRX domain	TRX family
TSKS	1	1	NA	NA
TSP_3	1	1	pfam02412	Thrombospondin type 3 repeat
TTKRSYEDQ	1	1	pfam10212	Predicted coiled-coil domain-containing protein
TYW3	1	1	pfam02676	Methyltransferase TYW3
TatD_DNAse	1	1	E.coli TatD is a cytoplasmic protein, shown to have magnesium dependent DNase activity	TatD like proteins
Tcf25	1	1	pfam04910	Transcriptional repressor TCF25
Tcp10_C	1	1	pfam07202	T-complex protein 10 C-terminus
Tctex-1	1	1	pfam03645	Tctex-1 family
Tgt	1	1	COG0343	Queuine/archaeosine tRNA-ribosyltransferase [Translation, ribosomal structure and biogenesis]
ThTPase	1	1	cd07758	Thiamine Triphosphatase
Tho2	1	1	pfam11262	Transcription factor/nuclear export subunit protein 2
Tmemb_14	1	1	pfam03647	Transmembrane proteins 14C
Tmemb_40	1	1	pfam10160	Predicted membrane protein
Tmemb_cc2	1	1	pfam10267	Predicted transmembrane and coiled-coil 2 protein
Tmk	1	1	COG0125	Thymidylate kinase [Nucleotide transport and metabolism]
Tmpp129	1	1	pfam10272	Putative transmembrane protein precursor
Topoisomer_IB_N_htopoI_like	1	1	cd03488	Topoisomer_IB_N_htopoI_like : N-terminal DNA binding fragment found in eukaryotic DNA topoisomerase (topo) IB proteins similar to the monomeric yeast and human topo I.  Topo I enzymes are divided into:  topo type IA (bacterial) and type IB (eukaryotic)
Trans_IPPS_HH	1	1	cd00683	Trans-Isoprenyl Diphosphate Synthases, head-to-head
Trans_IPPS_HT	1	1	cd00685	Trans-Isoprenyl Diphosphate Synthases, head-to-tail
Translin	1	1	cl00957	Translin family
TreA	1	1	COG1626	Neutral trehalase [Carbohydrate transport and metabolism]
Treacle	1	1	pfam03546	Treacher Collins syndrome protein Treacle
Tropomodulin	1	1	NA	NA
Tropomyosin_1	1	1	pfam12718	Tropomyosin like
TruA	1	1	COG0101	Pseudouridylate synthase [Translation, ribosomal structure and biogenesis]
TryX_like_RdCVF	1	1	RdCVF is a thioredoxin (TRX)-like protein specifically expressed in photoreceptors. RdCVF was isolated and identified as a factor that supports cone survival in retinal...	Tryparedoxin (TryX)-like family, Rod-derived cone viability factor (RdCVF) subfamily
TryX_like_TryX_NRX	1	1	TryX and NRX are thioredoxin (TRX)-like protein disulfide oxidoreductases that alter the redox state of target proteins via the reversible oxidation of an active center CXXC motif	Tryparedoxin (TryX)-like family, TryX and nucleoredoxin (NRX) subfamily
Trypsin_2	1	1	pfam13365	Trypsin-like peptidase domain
Tub	1	1	pfam01167	Tub family
Tub_2	1	1	cl02043	Tubby C 2
Tubulin	1	1	pfam00091	Tubulin/FtsZ family, GTPase domain
Tyr_3_monoox	1	1	TIGR01269	tyrosine 3-monooxygenase, tetrameric
UBL	1	1	cd01769	Ubiquitin-like domain of UBL
UBX	1	1	pfam00789	UBX domain
UCN2	1	1	pfam11613	Agonist of corticotropin releasing factor R2, Urocortin-2
UDG_F1	1	1	cd10027	Family 1 of Uracil-DNA glycosylase (UDG) enzymes
UDG_F2_MUG	1	1	cd10028	G:T/U mismatch specific DNA glcosylase (MUG)
UDG_F3_SMUG	1	1	cd10029	SMUG: single-strand-selective monofunctional uracil-DNA glycosylase
UDPGlcNAc_PPase	1	1	cd04193	UDPGlcNAc pyrophosphorylase catalayzes the synthesis of UDPGlcNAc
UEV	1	1	pfam05743	UEV domain
UMPH-1	1	1	pfam05822	Pyrimidine 5'-nucleotidase (UMPH-1)
UNC45-central	1	1	pfam11701	Myosin-binding striated muscle assembly central
UN_NPL4	1	1	pfam11543	Nuclear pore localisation protein NPL4
UPF0004	1	1	pfam00919	Uncharacterized protein family UPF0004
UPF0029	1	1	pfam01205	Uncharacterized protein family UPF0029
UPF0066	1	1	cd09281	Escherichia coli YaeB and related proteins
UPF0121	1	1	pfam03661	Uncharacterized protein family (UPF0121)
UPF0193	1	1	pfam05250	Uncharacterized protein family (UPF0193)
UPF0197	1	1	pfam05251	Uncharacterized protein family (UPF0197)
UPF0240	1	1	pfam06784	Uncharacterized protein family (UPF0240)
UPF0564	1	1	pfam10595	Uncharacterized protein family UPF0564
UP_IIIa	1	1	cd09970	Uroplakin IIIa
USP48_C	1	1	cd01795	USP ubiquitin-specific protease
Ubie_methyltran	1	1	pfam01209	ubiE/COQ5 methyltransferase family
Ubiq-Cytc-red_N	1	1	pfam09165	Ubiquinol-cytochrome c reductase 8 kDa, N-terminal
Ubox	1	1	smart00504	Modified RING finger domain
Ufm1	1	1	cd01766	Urm1-like ubiquitin domain
UhpC	1	1	COG2271	Sugar phosphate permease [Carbohydrate transport and metabolism]
Unc112	1	1	cd01237	Unc-112 pleckstrin homology (PH) domain
Utp11	1	1	pfam03998	Utp11 protein
Utp21	1	1	pfam04192	Utp21 specific WD40 associated putative domain
Uup	1	1	COG0488	ATPase components of ABC transporters with duplicated ATPase domains [General function prediction only]
UvrD_C_2	1	1	cl15862	Family description
V-ATPase_V1_B	1	1	TIGR01040	V-type (H+)-ATPase V1, B subunit
VBS	1	1	pfam08913	Vinculin Binding Site
VCX_VCY	1	1	NA	NA
VEFS-Box	1	1	pfam09733	VEFS-Box of polycomb protein
VGCC_beta4Aa_N	1	1	pfam12052	Voltage gated calcium channel subunit beta domain 4Aa N terminal
VHS_ENTH_ANTH	1	1	composed of proteins containing a VHS, ENTH or ANTH domain. The VHS domain is present in Vps27 (Vacuolar Protein Sorting), Hrs (Hepatocyte growth factor-regulated tyrosine kinase substrate) and STAM (Signal...	VHS, ENTH and ANTH domain superfamily
VPS28	1	1	pfam03997	VPS28 protein
VWA_26S_proteasome_subunit	1	1	cd01452	26S proteasome plays a major role in eukaryotic protein breakdown, especially for ubiquitin-tagged proteins. It is an ATP-dependent protease responsible for the bulk of non-lysosomal proteolysis in eukaryotes, often using covalent modification of...
VWC_out	1	1	smart00215	von Willebrand factor (vWF) type C domain
V_Alix	1	1	cd09235	Middle V-domain of mammalian Alix and related domains are dimerization and protein interaction modules
Vert_HS_TF	1	1	pfam06546	Vertebrate heat shock transcription factor
Voltage_gated_ClC	1	1	cl02915	CLC voltage-gated chloride channel. The ClC chloride channels catalyse the selective flow of Cl- ions across cell membranes, thereby regulating electrical excitation in skeletal muscle and the flow of salt and water across epithelial barriers. This...
Vps16_N	1	1	pfam04841	Vps16, N-terminal region
Vps26	1	1	pfam03643	Vacuolar protein sorting-associated protein 26
Vps4_C	1	1	pfam09336	Vps4 C terminal oligomerisation domain
Vps52	1	1	pfam04129	Vps52 / Sac2 family
Vps53_N	1	1	pfam04100	Vps53-like, N-terminal
W2_eIF4G1_like	1	1	cd11559	C-terminal W2 domain of eukaryotic translation initiation factor 4 gamma 1 and similar proteins
WASP	1	1	cd01205	WASP-type EVH1 domain
WD-3	1	1	pfam09765	WD-repeat region
WGR_PARP2_like	1	1	cd08003	WGR domain of poly(ADP-ribose) polymerases
WH2	1	1	pfam02205	WH2 motif
WRN_exo	1	1	cd06141	DEDDy 3'-5' exonuclease domain of WRN and similar proteins
XRCC4	1	1	pfam06632	DNA double-strand break repair and V(D)J recombination protein XRCC4
XRN_N	1	1	pfam03159	XRN 5'-3' exonuclease N-terminus
XR_like_SDR_c	1	1	cd05351	xylulose reductase-like, classical (c) SDRs
Xan_ur_permease	1	1	pfam00860	Permease family
Xpo1	1	1	pfam08389	Exportin 1-like protein
YDG_SRA	1	1	pfam02182	YDG/SRA domain
YIF1	1	1	pfam03878	YIF1
YL1	1	1	pfam05764	YL1 nuclear protein
YL1_C	1	1	cl02154	YL1 nuclear protein C-terminal domain
YSH1	1	1	COG1236	Predicted exonuclease of the beta-lactamase fold involved in RNA processing [Translation, ribosomal structure and biogenesis]
YXKO-related	1	1	cd01171	B.subtilis YXKO protein of unknown function and related proteins. Based on the conservation of the ATP binding site, the substrate binding site and the Mg2+binding site and structural homology this group is a member of the ribokinase-like superfamily
Y_phosphatase_m	1	1	pfam13849	Myotubularin Y_phosphatase-like
YbgS	1	1	pfam13985	YbgS-like protein
YdjC_like_2	1	1	cd10806	uncharacterized YdjC-like family proteins from eukaryotes
YhhN	1	1	pfam07947	YhhN-like protein
Yippee	1	1	pfam03226	Yippee putative zinc-binding protein
YjfB_motility	1	1	pfam14070	Putative motility protein
YjgF_YER057c_UK114_family	1	1	cd00448	YjgF, YER057c, and UK114 belong to a large family of proteins present in bacteria, archaea, and eukaryotes with no definitive function. The conserved domain is similar in structure to chorismate mutase but there is no sequence similarity and no...
YmdA_YtgF	1	1	TIGR03319	conserved hypothetical protein YmdA/YtgF
YqeH	1	1	cd01855	Circularly permuted YqeH GTPase
YscO	1	1	pfam07321	Type III secretion protein YscO
ZZ_EF	1	1	cd02343	Zinc finger, ZZ type. Zinc finger present in proteins with an EF_hand motif. The ZZ motif coordinates two zinc ions and most likely participates in ligand binding or molecular scaffolding
ZZ_NBR1_like	1	1	cd02340	Zinc finger, ZZ type. Zinc finger present in Drosophila ref(2)P, NBR1, Human sequestosome 1 and related proteins. The ZZ motif coordinates two zinc ions and most likely participates in ligand binding or molecular scaffolding. Drosophila ref(2)P appears...
Zinc_peptidase_like	1	1	cl14876	Zinc peptidases M18, M20, M28, and M42
Zn finger DNA binding domain	1	1	NA	NA
ZnF_C3H1	1	1	smart00356	zinc finger
ZnF_RBZ	1	1	smart00547	Zinc finger domain
ZnF_U1	1	1	smart00451	U1-like zinc finger
ZnMc_BMP1_TLD	1	1	BMP1/TLD-like subfamily. BMP1 (Bone morphogenetic protein 1) and TLD (tolloid)-like metalloproteases play vital roles in extracellular matrix formation, by cleaving precursor proteins such as enzymes, structural proteins	Zinc-dependent metalloprotease
ZnMc_TACE_like	1	1	TACE_like subfamily. TACE, the tumor-necrosis factor-alpha converting enzyme, releases soluble TNF-alpha from transmembrane pro-TNF-alpha	Zinc-dependent metalloprotease
ZnMc_meprin	1	1	cd04282	Zinc-dependent metalloprotease, meprin_like subfamily. Meprins are membrane-bound or secreted extracellular proteases, which cleave a variety of targets, including peptides such as parathyroid hormone, gastrin, and cholecystokinin, cytokines such as...
Zn_dep_PLPC	1	1	pfam00882	Zinc dependent phospholipase C
ZntA	1	1	COG2217	Cation transport ATPase [Inorganic ion transport and metabolism]
Zw10	1	1	pfam06248	Centromere/kinetochore Zw10
Zwf	1	1	COG0364	Glucose-6-phosphate 1-dehydrogenase [Carbohydrate transport and metabolism]
actin-binding domain	1	1	NA	NA
acyloxyacyl_hydrolase_like	1	1	cd01826	Acyloxyacyl-hydrolase like subfamily of the SGNH-hydrolase family. Acyloxyacyl-hydrolase is a leukocyte-secreted enzyme that deacetylates bacterial lipopolysaccharides
aden_kin_iso1	1	1	TIGR01360	adenylate kinase, isozyme 1 subfamily
alkb	1	1	TIGR00568	DNA alkylation damage repair protein AlkB
alpha-crystallin-Hsps_p23-like	1	1	cl00175	alpha-crystallin domain (ACD) found in alpha-crystallin-type small heat shock proteins, and a similar domain found in p23 (a cochaperone for Hsp90) and in other p23-like proteins
alpha_CARP_VIII	1	1	cd03120	Carbonic anhydrase alpha related protein, group VIII. Carbonic anhydrase related proteins (CARPs) are sequence similar to carbonic anhydrases. Carbonic anhydrases are zinc-containing enzymes that catalyze the reversible hydration of carbon dioxide in a...
alpha_CA_IV_XV_like	1	1	cd03117	Carbonic anhydrase alpha, CA_IV, CA_XV, like isozymes. Carbonic anhydrases (CAs) are zinc-containing enzymes that catalyze the reversible hydration of carbon dioxide in a two-step mechanism: a nucleophilic attack of a zinc-bound hydroxide ion on carbon...
alpha_CA_I_II_III_XIII	1	1	cd03119	Carbonic anhydrase alpha, isozymes I, II, and III and XIII.  Carbonic anhydrases (CAs) are zinc-containing enzymes that catalyze the reversible hydration of carbon dioxide in a two-step mechanism: a nucleophilic attack of a zinc-bound hydroxide ion on...
alpha_CA_V	1	1	cd03118	Carbonic anhydrase alpha, CA isozyme V_like subgroup.  Carbonic anhydrases (CAs) are zinc-containing enzymes that catalyze the reversible hydration of carbon dioxide in a two-step mechanism: a nucleophilic attack of a zinc-bound hydroxide ion on carbon...
alpha_CA_VI	1	1	cd03125	Carbonic anhydrase alpha, isozyme VI. Carbonic anhydrases (CAs) are zinc-containing enzymes that catalyze the reversible hydration of carbon dioxide in a two-step mechanism: a nucleophilic attack of a zinc-bound hydroxide ion on carbon dioxide, followed...
alpha_CA_XII_XIV	1	1	cd03126	Carbonic anhydrase alpha, isozymes XII and XIV. Carbonic anhydrases (CAs) are zinc-containing enzymes that catalyze the reversible hydration of carbon dioxide in a two-step mechanism: a nucleophilic attack of a zinc-bound hydroxide ion on carbon dioxide
alternative AUG translation initiation site	1	1	NA	start of isoform i precursor
arc_protsome_A	1	1	TIGR03633	proteasome endopeptidase complex, archaeal, alpha subunit
asnB	1	1	Provisional	asparagine synthetase B
aspS	1	1	Validated	aspartyl-tRNA synthetase
b4GalT	1	1	cd00899	Beta-4-Galactosyltransferase is involved in the formation of the poly-N-acetyllactosamine core structures present in glycoproteins and glycosphingolipids
